technique,accuracy,precision,recall,f1
paraphrase,0.85,0.8440278832834354,0.8584932017135407,0.8468536942292203
synonym,0.8466666666666667,0.8403113258185722,0.8542559135779475,0.8432957848837209
noise,0.84,0.8373954812310976,0.8532315142484634,0.8376623376623377
back_translation,0.8366666666666667,0.8299001388204738,0.8430340845595083,0.8329070758738277
Raw,0.82,0.8214793741109531,0.8367479977649469,0.8181818181818181
