Model,F1,Accuracy,Precision,Recall
CLIP,0.628099173553719,0.7,0.6129032258064516,0.6440677966101694
ALIGN,0.5882352941176471,0.65,0.5474452554744526,0.635593220338983
BLIP,0.5818181818181818,0.6933333333333334,0.6274509803921569,0.5423728813559322
ViT,0.46551724137931033,0.5866666666666667,0.47368421052631576,0.4576271186440678
