Model,Task,F1 Score,Accuracy,Recall,Precision
ResNet50,Stance,0.4854,0.59,0.4915,0.4793
CLIP,Stance,0.6339622641509434,0.6766666666666666,0.711864406779661,0.5714285714285714
ViT,Stance,0.5191489361702127,0.6233333333333333,0.5169491525423728,0.5213675213675214
ResNet50,Persuasiveness,0.4114,0.6567,0.3396,0.5217
CLIP,Persuasiveness,0.5202312138728323,0.7233333333333334,0.42452830188679247,0.6716417910447762
ViT,Persuasiveness,0.12403100775193798,0.6233333333333333,0.07547169811320754,0.34782608695652173
