ensemble_method,accuracy,precision,recall,f1
hard_voting,0.8433333333333334,0.7482517482517482,0.9067796610169492,0.8199233716475096
weighted_voting,0.84,0.7397260273972602,0.9152542372881356,0.8181818181818182
soft_voting,0.8366666666666667,0.7346938775510204,0.9152542372881356,0.8150943396226416
